 Supplementary Table 1. Detailed information of the maize inbred lines used in this study					
Sample ID	Inbred line name	Breeding era	Origin	 Subgroup	Heterotic group
1	17MC3248	II	Beijing,China	PA 2	PA
2	17MC3255	II	Beijing,China	PA 2	PA
3	MC9292	II	Beijing,China	Admix	Admix
4	MC9300	II	Beijing,China	SPT 1	SPT
5	MC5832	II	Beijing,China	PA 2	PA
6	MC5833	II	Beijing,China	PA 2	PA
7	MC5834	II	Beijing,China	PA 2	PA
8	MC5836	II	Beijing,China	PA 2	PA
9	MC5837	II	Beijing,China	PA 2	PA
10	MC5838	II	Beijing,China	PA 2	PA
11	MC5839	II	Beijing,China	PA 2	PA
12	MC5840	II	Beijing,China	PA 2	PA
13	MC5831	II	Beijing,China	PA 2	PA
14	MC7525	II	Beijing,China	Admix	Admix
15	MC7495	II	Beijing,China	Amargo	SS
16	MC7474	II	Beijing,China	1odent	Iodent
17	MC7488	II	Beijing,China	Amargo	SS
18	17MC2621	II	Beijing,China	SPT 1	SPT
19	17MC2622	II	Beijing,China	SPT 1	SPT
20	17MC2623	II	Beijing,China	SPT 1	SPT
21	17MC2624	II	Beijing,China	SPT 1	SPT
22	17MC2627	II	Beijing,China	SPT 1	SPT
23	17MC2629	II	Beijing,China	SPT 1	SPT
24	17MC2630	II	Beijing,China	SPT 1	SPT
25	17MC2632	II	Beijing,China	SPT 1	SPT
26	17MC2633	II	Beijing,China	SPT 1	SPT
27	17MC2635	II	Beijing,China	SPT 1	SPT
28	17MC2636	II	Beijing,China	SPT 1	SPT
29	17MC2637	II	Beijing,China	SPT 1	SPT
30	MC9282	II	Beijing,China	SPT 1	SPT
31	MC9287	II	Beijing,China	SPT 1	SPT
32	MC9288	II	Beijing,China	SPT 2	SPT
33	MC9289	II	Beijing,China	Admix	Admix
34	MC5841	II	Beijing,China	PA 2	PA
35	MC4174	II	Beijing,China	1odent	Iodent
36	MC4178	II	Beijing,China	Admix	Admix
37	MC5842	II	Beijing,China	PA 2	PA
38	MC5843	II	Beijing,China	PA 2	PA
39	MC5844	II	Beijing,China	PA 2	PA
40	MC5845	II	Beijing,China	PA 2	PA
41	MC5846	II	Beijing,China	PA 2	PA
42	MC5847	II	Beijing,China	PA 2	PA
43	MC5848	II	Beijing,China	Admix	Admix
44	MC5850	II	Beijing,China	PA 2	PA
45	MC3361	II	Beijing,China	PA 2	PA
46	MC3362	II	Beijing,China	PA 2	PA
47	MC3363	II	Beijing,China	PA 2	PA
48	MC3366	II	Beijing,China	PA 2	PA
49	MC3367	II	Beijing,China	PA 2	PA
50	MC3369	II	Beijing,China	PA 2	PA
51	MC3370	II	Beijing,China	PA 2	PA
52	MC6179	II	Beijing,China	1odent	Iodent
53	MC6231	II	Beijing,China	PA 2	PA
54	MC6233	II	Beijing,China	PA 2	PA
55	MC6234	II	Beijing,China	PA 2	PA
56	MC6235	II	Beijing,China	PA 2	PA
57	MC6236	II	Beijing,China	PA 2	PA
58	MC9265	II	Beijing,China	Admix	Admix
59	MC9269	II	Beijing,China	SPT 2	SPT
60	MC9270	II	Beijing,China	SPT 1	SPT
61	MC9274	II	Beijing,China	SPT 1	SPT
62	17CPB17	II	Jilin,China	1odent	Iodent
63	17CPB04	II	Jilin,China	Zi330	NSS
64	17CPA14	II	Jilin,China	Amargo	SS
65	DXA048	II	Jilin,China	Amargo	SS
66	DXA050	II	Jilin,China	Amargo	SS
67	DXA095	II	Jilin,China	Amargo	SS
68	DXA105	II	Jilin,China	Amargo	SS
69	DXA119	II	Jilin,China	Amargo	SS
70	DXA130	II	Jilin,China	Admix	Admix
71	DXA149	II	Jilin,China	Admix	Admix
72	DXA168	II	Jilin,China	Admix	Admix
73	DXA195	II	Jilin,China	Admix	Admix
74	DXB007	II	Jilin,China	1odent	Iodent
75	DXB037	II	Jilin,China	Admix	Admix
76	DXB060	II	Jilin,China	1odent	Iodent
77	DXB079	II	Jilin,China	1odent	Iodent
78	DXB146	II	Jilin,China	1odent	Iodent
79	DXB161	II	Jilin,China	1odent	Iodent
80	DXB163	II	Jilin,China	1odent	Iodent
81	DXB165	II	Jilin,China	1odent	Iodent
82	DXB167	II	Jilin,China	1odent	Iodent
83	DXB171	II	Jilin,China	1odent	Iodent
84	DXB180	II	Jilin,China	1odent	Iodent
85	DXB198	II	Jilin,China	1odent	Iodent
86	KW4M029	Unknown	Germany	Admix	Admix
87	DH382	II	Shandong,China	Admix	Admix
88	DH351	II	Shandong,China	Admix	Admix
89	Wu9086	II	Gansu,China	PA 2	PA
90	J398	II	Gansu,China	Admix	Admix
91	Z78	II	Gansu,China	Zi330	NSS
92	J005	II	Gansu,China	Lancaster 1	NSS
93	Y543-1	II	Gansu,China	Admix	Admix
94	KP105	II	Gansu,China	Lancaster 2	NSS
95	SF8	II	Gansu,China	SPT 1	SPT
96	Jin103	II	Gansu,China	Lancaster 2	NSS
97	Jing725	II	Beijing,China	1odent	Iodent
98	Jing724	II	Beijing,China	Amargo	SS
99	L269	II	Jilin,China	Admix	Admix
100	L201	II	Jilin,China	PA 1	PA
101	S122	II	Jilin,China	Zi330	NSS
102	M5972	II	Jilin,China	Admix	Admix
103	M03	II	Jilin,China	Amargo	SS
104	L239	II	Anhui,China	PA 2	PA
105	ly1359	II	Gansu,China	Admix	Admix
106	ly325	II	Gansu,China	Admix	Admix
107	LY2211	II	Gansu,China	Zi330	NSS
108	ly328	II	Gansu,China	Admix	Admix
109	5172	II	Gansu,China	SPT 2	SPT
110	C52106	II	Liaoning,China	Admix	Admix
111	CH552	II	Liaoning,China	Admix	Admix
112	W08	I	Liaoning,China	Zi330	NSS
113	T106	II	Liaoning,China	PA 1	PA
114	TF5088	II	Hebei,China	Admix	Admix
115	TF5011	II	Hebei,China	PA 1	PA
116	WK858	II	Henan,China	PA 2	PA
117	Wu7924	II	Gansu,China	Admix	Admix
118	Wu6006	II	Gansu,China	SPT 2	SPT
119	Wu6127	II	Gansu,China	PA 2	PA
120	ZD1882	I	Gansu,China	Lancaster 2	NSS
121	ZF39-5134	I	Gansu,China	Admix	Admix
122	XD973	I	Gansu,China	1odent	Iodent
123	Y3-2	II	Gansu,China	SPT 2	SPT
124	Y687	II	Gansu,China	PA 2	PA
125	950	II	Gansu,China	SPT 2	SPT
126	806	II	Gansu,China	PA 2	PA
127	ly5901	II	Gansu,China	Admix	Admix
128	ly5502	II	Gansu,China	PB	PB
129	ly6601	II	Gansu,China	Zi330	NSS
130	ly6206	II	Gansu,China	Admix	Admix
131	ly5405	II	Gansu,China	PB	PB
132	ly6101	II	Gansu,China	Admix	Admix
133	LongM0302	II	Gansu,China	Admix	Admix
134	ly5715	II	Gansu,China	Lancaster 1	NSS
135	ly6201	II	Gansu,China	Admix	Admix
136	802	II	Henan,China	PA 2	PA
137	6107A-2	II	Henan,China	SPT 2	SPT
138	521	II	Shandong,China	Admix	Admix
139	Zi5-2	II	Gansu,China	SPT 1	SPT
140	XF8-3	II	Gansu,China	Admix	Admix
141	Z05013	II	Gansu,China	Admix	Admix
142	XF063	II	Gansu,China	Amargo	SS
143	Zi5-3	II	Gansu,China	Admix	Admix
144	Z350	II	Gansu,China	Admix	Admix
145	LK58-8	II	Gansu,China	PB	PB
146	F83	II	Gansu,China	Lancaster 2	NSS
147	WC009	II	Beijing,China	Lancaster 1	NSS
148	S747	II	Jilin,China	Zi330	NSS
149	LY2209	II	Gansu,China	Zi330	NSS
150	ly0996	II	Gansu,China	1odent	Iodent
151	Sheng68	II	Henan,China	PA 2	PA
152	Sheng62	II	Henan,China	SPT 2	SPT
153	6300	II	Gansu,China	PB	PB
154	SX1132-2Rel	II	Shandong,China	Admix	Admix
155	SX3821	II	Shandong,China	SPT 1	SPT
156	SX3821Rel	II	Shandong,China	SPT 1	SPT
157	LongF1006	II	Gansu,China	Admix	Admix
158	LongF1011	II	Gansu,China	PB	PB
159	LongF1205	II	Gansu,China	Admix	Admix
160	LongF0301	II	Gansu,China	1odent	Iodent
161	ly5401	II	Gansu,China	Admix	Admix
162	LongF0202	II	Gansu,China	SPT 2	SPT
163	LongF2224	II	Gansu,China	PB	PB
164	ly2310	II	Gansu,China	PB	PB
165	ly5711	II	Gansu,China	Lancaster 1	NSS
166	LongF0402	II	Gansu,China	Admix	Admix
167	F0903	II	Gansu,China	SPT 2	SPT
168	Ji815	I	Hebei,China	Admix	Admix
169	Ji257	I	Hebei,China	Admix	Admix
170	Q317	II	Hebei,China	Zi330	NSS
171	H446	II	Hebei,China	PA 1	PA
172	Jizi14L145	II	Hebei,China	PA 1	PA
173	Jizi14W352	II	Hebei,China	PB	PB
174	L98	II	Hebei,China	PA 2	PA
175	H81	II	Hebei,China	SPT 2	SPT
176	H58	II	Hebei,China	PA 2	PA
177	Jizi147048	II	Hebei,China	PA 2	PA
178	HH4	II	Hebei,China	SPT 2	SPT
179	H599a	II	Hebei,China	PA 1	PA
180	JiziB154	II	Hebei,China	SPT 2	SPT
181	JiziA150	II	Hebei,China	1odent	Iodent
182	Jizi13L377	II	Hebei,China	PA 2	PA
183	214CTS	II	Hebei,China	PA 1	PA
184	Jizi13L348	II	Hebei,China	PA 2	PA
185	JiSX32T29	II	Hebei,China	1odent	Iodent
186	W-25	II	Hebei,China	PA 1	PA
187	Jizi5164	II	Hebei,China	PA 2	PA
188	x302	II	Hebei,China	Amargo	SS
189	B17	II	Hebei,China	SPT 2	SPT
190	Chang98	II	Hebei,China	SPT 2	SPT
191	JiziC32	II	Hebei,China	Admix	Admix
192	Jizi13L115	II	Hebei,China	PA 2	PA
193	Jizi14L126	II	Hebei,China	Admix	Admix
194	X47B	II	Hebei,China	Amargo	SS
195	Jizi13W142	II	Hebei,China	PA 2	PA
