ID	Accession	Run title	BioProject accession	Experiment accession	Run data file type	File name 1	MD5 checksum 1	DownLoad1	File name 2	MD5 checksum 2	DownLoad2	Reference file name	MD5 for reference file	Assembly Name or Accession	Assembly Accession URL	other_db	accession_in_other_db	other_db_url
1	CRR504154	351	PRJCA009749	CRX444560	fastq	CRR504154_f1.fq.gz (3243119632 bytes)	6dc4e1568749b5c5fd892fd290898772	ftp://download.big.ac.cn/gsa/CRA007020/CRR504154/CRR504154_f1.fq.gz	CRR504154_r2.fq.gz (3496840447 bytes)	18b2a9a0fad8754ffababdfba980e132	ftp://download.big.ac.cn/gsa/CRA007020/CRR504154/CRR504154_r2.fq.gz							
2	CRR504155	8941	PRJCA009749	CRX444561	fastq	CRR504155_f1.fq.gz (3611620182 bytes)	0fd7451ad8f0ece650cd7472d368abaa	ftp://download.big.ac.cn/gsa/CRA007020/CRR504155/CRR504155_f1.fq.gz	CRR504155_r2.fq.gz (4012189958 bytes)	d37bb1980e1c4a5162090af91d2191bf	ftp://download.big.ac.cn/gsa/CRA007020/CRR504155/CRR504155_r2.fq.gz							
3	CRR504156	81162	PRJCA009749	CRX444562	fastq	CRR504156_f1.fq.gz (3885498941 bytes)	b1a25a5654fd38cbd1678ad449d89048	ftp://download.big.ac.cn/gsa/CRA007020/CRR504156/CRR504156_f1.fq.gz	CRR504156_r2.fq.gz (4212643428 bytes)	fa42eeca731735fb7f8864da007c2b52	ftp://download.big.ac.cn/gsa/CRA007020/CRR504156/CRR504156_r2.fq.gz							
4	CRR504157	4F1	PRJCA009749	CRX444563	fastq	CRR504157_f1.fq.gz (5036990556 bytes)	cee44023014de6a593435f5ec58dbcfe	ftp://download.big.ac.cn/gsa/CRA007020/CRR504157/CRR504157_f1.fq.gz	CRR504157_r2.fq.gz (5886709753 bytes)	0bb6abac533351f654088abeefe4c556	ftp://download.big.ac.cn/gsa/CRA007020/CRR504157/CRR504157_r2.fq.gz							
5	CRR504158	C8605_2	PRJCA009749	CRX444564	fastq	CRR504158_f1.fq.gz (3891591255 bytes)	2c15efbf3b0dd3c48b18e670e18042a3	ftp://download.big.ac.cn/gsa/CRA007020/CRR504158/CRR504158_f1.fq.gz	CRR504158_r2.fq.gz (4353921089 bytes)	c3770326b470918c062ec2ad863e04fc	ftp://download.big.ac.cn/gsa/CRA007020/CRR504158/CRR504158_r2.fq.gz							
6	CRR504159	Dong101	PRJCA009749	CRX444565	fastq	CRR504159_f1.fq.gz (3604756413 bytes)	1c825e06997b4a85ee1ebc965d0ccca7	ftp://download.big.ac.cn/gsa/CRA007020/CRR504159/CRR504159_f1.fq.gz	CRR504159_r2.fq.gz (4071117428 bytes)	c484d2fa4b0c29545c1ba1db557dd870	ftp://download.big.ac.cn/gsa/CRA007020/CRR504159/CRR504159_r2.fq.gz							
7	CRR504160	Dong8112	PRJCA009749	CRX444566	fastq	CRR504160_f1.fq.gz (3786046292 bytes)	78659c7f5f9238c21542c528a9ebec67	ftp://download.big.ac.cn/gsa/CRA007020/CRR504160/CRR504160_f1.fq.gz	CRR504160_r2.fq.gz (4102413528 bytes)	c1d5cc6f5102b635d64c904bc05ac286	ftp://download.big.ac.cn/gsa/CRA007020/CRR504160/CRR504160_r2.fq.gz							
8	CRR504161	Dongbeihu	PRJCA009749	CRX444567	fastq	CRR504161_f1.fq.gz (3455520943 bytes)	c44d6ceda603e633dcbd5a9981ea6d96	ftp://download.big.ac.cn/gsa/CRA007020/CRR504161/CRR504161_f1.fq.gz	CRR504161_r2.fq.gz (3870904595 bytes)	326151934445d7e2d79c63ec4e280074	ftp://download.big.ac.cn/gsa/CRA007020/CRR504161/CRR504161_r2.fq.gz							
9	CRR504162	He344	PRJCA009749	CRX444568	fastq	CRR504162_f1.fq.gz (3473328481 bytes)	860aecc1ba352e6ad86081d2f610a615	ftp://download.big.ac.cn/gsa/CRA007020/CRR504162/CRR504162_f1.fq.gz	CRR504162_r2.fq.gz (3887270486 bytes)	a37dabefcc20c2ed6caa56506a0b387d	ftp://download.big.ac.cn/gsa/CRA007020/CRR504162/CRR504162_r2.fq.gz							
10	CRR504163	Jing24	PRJCA009749	CRX444569	fastq	CRR504163_f1.fq.gz (3395434408 bytes)	2730a7317d53ebd53ea2ea7d35ba8ed2	ftp://download.big.ac.cn/gsa/CRA007020/CRR504163/CRR504163_f1.fq.gz	CRR504163_r2.fq.gz (3801024642 bytes)	7c9cecec3edeb6ff08b080c81838f010	ftp://download.big.ac.cn/gsa/CRA007020/CRR504163/CRR504163_r2.fq.gz							
